"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R71_9","RES_1206","6834.647mil","3641.734mil","6838.583mil","3641.734mil","6906.497mil","3641.734mil","B","180.00","10K"
"R72_1","RES_1206","311.025mil","1968.505mil","314.961mil","1968.506mil","382.875mil","1968.505mil","B","180.00","10K"
"R72_2","RES_1206","1295.276mil","1968.506mil","1299.213mil","1968.506mil","1367.127mil","1968.506mil","B","180.00","10K"
"R72_3","RES_1206","2279.528mil","1968.506mil","2283.465mil","1968.506mil","2351.379mil","1968.506mil","B","180.00","10K"
"R72_4","RES_1206","3263.781mil","1968.506mil","3267.717mil","1968.506mil","3335.631mil","1968.506mil","B","180.00","10K"
"R72_5","RES_1206","4248.032mil","1968.506mil","4251.969mil","1968.506mil","4319.883mil","1968.506mil","B","180.00","10K"
"R72_6","RES_1206","5232.284mil","1968.506mil","5236.221mil","1968.506mil","5304.135mil","1968.506mil","B","180.00","10K"
"R72_7","RES_1206","6216.535mil","1968.506mil","6220.473mil","1968.506mil","6288.385mil","1968.506mil","B","180.00","10K"
"R72_8","RES_1206","7200.788mil","1968.506mil","7204.725mil","1968.506mil","7272.639mil","1968.506mil","B","180.00","10K"
"R72_9","RES_1206","7614.174mil","3641.735mil","7610.237mil","3641.734mil","7542.324mil","3641.735mil","B","360.00","10K"
